Time_s   F0_st__200_
15.683901   --undefined--
15.686245   --undefined--
15.688589   --undefined--
15.690932   --undefined--
15.693276   --undefined--
15.695620   27.747784
15.697964   27.321830
15.700307   26.658824
15.702651   25.170923
15.704995   25.025185
15.707339   --undefined--
15.709682   --undefined--
15.712026   --undefined--
15.714370   14.955293
15.716714   14.659192
15.719057   14.804303
15.721401   14.715489
15.723745   15.077982
15.726089   14.885800
15.728432   14.379259
15.730776   --undefined--
15.733120   24.543888
15.735464   25.021897
15.737807   24.682557
15.740151   --undefined--
15.742495   --undefined--
15.744839   --undefined--
15.747182   15.119016
15.749526   14.413485
15.751870   14.870215
15.754214   14.484991
15.756557   15.458959
15.758901   13.354358
15.761245   14.221990
15.763589   13.618724
15.765932   15.004917
15.768276   15.188941
15.770620   13.470648
15.772964   14.832948
15.775307   15.386736
15.777651   --undefined--
15.779995   --undefined--
15.782339   --undefined--
15.784682   --undefined--
15.787026   --undefined--
15.789370   --undefined--
15.791714   --undefined--
15.794057   --undefined--
15.796401   --undefined--
15.798745   --undefined--
15.801089   --undefined--
15.803432   --undefined--
15.805776   --undefined--
15.808120   --undefined--
15.810464   --undefined--
15.812807   --undefined--
15.815151   --undefined--
15.817495   --undefined--
15.819839   --undefined--
15.822182   --undefined--
15.824526   --undefined--
15.826870   --undefined--
15.829214   --undefined--
15.831557   --undefined--
15.833901   --undefined--
15.836245   --undefined--
15.838589   --undefined--
15.840932   --undefined--
15.843276   --undefined--
15.845620   23.578019
15.847964   22.430472
15.850307   21.596675
15.852651   21.530497
15.854995   --undefined--
15.857339   --undefined--
15.859682   --undefined--
15.862026   --undefined--
15.864370   --undefined--
15.866714   --undefined--
15.869057   --undefined--
15.871401   --undefined--
15.873745   --undefined--
15.876089   --undefined--
15.878432   --undefined--
15.880776   --undefined--
15.883120   --undefined--
15.885464   --undefined--
15.887807   --undefined--
15.890151   --undefined--
15.892495   --undefined--
15.894839   --undefined--
15.897182   --undefined--
15.899526   --undefined--
15.901870   --undefined--
15.904214   --undefined--
15.906557   --undefined--
15.908901   --undefined--
15.911245   --undefined--
15.913589   --undefined--
15.915932   --undefined--
15.918276   --undefined--
15.920620   --undefined--
15.922964   --undefined--
15.925307   --undefined--
15.927651   --undefined--
15.929995   --undefined--
15.932339   --undefined--
15.934682   --undefined--
15.937026   --undefined--
15.939370   --undefined--
15.941714   --undefined--
15.944057   --undefined--
15.946401   --undefined--
15.948745   --undefined--
15.951089   --undefined--
15.953432   --undefined--
15.955776   --undefined--
15.958120   --undefined--
15.960464   --undefined--
15.962807   --undefined--
15.965151   --undefined--
15.967495   --undefined--
15.969839   --undefined--
15.972182   --undefined--
15.974526   --undefined--
15.976870   --undefined--
15.979214   --undefined--
15.981557   --undefined--
15.983901   --undefined--
15.986245   --undefined--
15.988589   --undefined--
15.990932   --undefined--
15.993276   --undefined--
15.995620   --undefined--
15.997964   --undefined--
16.000307   --undefined--
16.002651   --undefined--
16.004995   --undefined--
