Time_s   Intensity_dB
54.760771   43.130388
54.767437   44.093196
54.774104   41.368702
54.780771   37.648216
54.787437   35.891041
54.794104   34.071872
54.800771   31.722330
54.807437   30.175119
54.814104   29.018151
54.820771   27.261696
54.827437   25.568840
54.834104   24.430060
54.840771   23.536452
54.847437   22.892664
54.854104   22.327993
54.860771   21.939492
54.867437   22.120715
54.874104   22.281351
54.880771   22.253309
54.887437   22.517495
54.894104   23.479675
54.900771   24.714733
54.907437   25.524209
54.914104   25.614844
54.920771   25.256285
54.927437   24.879014
54.934104   24.714393
54.940771   24.507201
54.947437   24.423197
54.954104   24.454597
54.960771   23.949852
54.967437   23.326936
54.974104   23.468117
54.980771   23.459584
54.987437   23.440586
54.994104   23.332668
55.000771   23.333613
55.007437   23.633135
55.014104   24.760379
